double,Eligibility_last_decision,Eligibility_note,Double_coder,Title,unique_ID,moderators_checked,long_cite,short_cite,doi/url ,year,source,publication_type,coder,peer_reviewed,country_data_collected_from,research_design ,expt_num,if_exp_num_not_1_same_subject,feedback_type,delay_definition ,feedback_delay_difference,delay_i(seconds/item),delay_d(seconds/item),retention_interval_difference_last_feedback_posttest_immediate_vs_delayed,delayed_feedback_given_in,training_duration_sec,nb_question/item_in_training,feedback_delay_difference_converted_to_time(sec),educational_level,learning_domain,task_level,task_leve_in_vanderkleij,experimental_vs_curriculum_based_task,prior_knowledge,arbitrary_learning,participants_have_prior_knowledge_on_task,study_setting,memory_type,mean_age,sd_age,min_age,max_age,gender,answer_type_in_training,learning_material_type_in_training,participant_design,study_structure,conditions_order,assignment_participants,interval_btw_last_feedback_and_posttest_controlled,measure_of_outcome,memory_retrieval_vs_knowledge_application,posttest_category,type_posttest,item_posttest,feedback_provider,system_adaptivity,data_link ,preregistered,n_excluded,nb_measurement_points,time_limit_for_answer,time_limit_for_answer_not_indicated_explicitly,extra_group_exist,n_posttest_in_exp,posttest_number,retention_interwal(day)_i,retention_interwal(day)_d,feedback_provided_i,feedback_provided_d,nb_times_feedback_provided_i,nb_times_feedback_provided_d,feedback_remind_answer_i,feedback_remind_answer_d,webplotdigitizer used?,N_total,n_extra_group_if_any,n_i,n_d,mean_i,mean_d,sd_i,sd_d,se_i,se_d,lower_CI,upper_CI,t,SEM,F,cohens_f,se_f,F_sign_change,df,p,eta_square,partial_eta_square,odd_ratio,log_odd,SE_log_odd,corr,power,beta,SE_beta,SD_beta,n_point,effect_size_original,SE_original,effect_size_by_calculator,se_by_calculator,effect_size_double_coder,se_effect_size_double_coder,effect_size_formula_to_be_used,alternative_effect_size_formula_to_be_used,decision_justification,Question/objective sufficiently described?,Study design evident and appropriate? ,Method of subject/comparison group selection or source of information/input variables described and appropriate? ,"Subject (and comparison group, if applicable) characteristics sufficiently described?","If interventional and random allocation was possible, was it described?","If interventional and blinding of investigators was possible, was it reported?","If interventional and blinding of subjects was possible, was it reported?",Outcome and (if applicable) exposure measure(s) well defined and robust to measurement/misclassification bias? Means of assessment reported?,Sample size appropriate?,Analytic methods described/justified and appropriate? ,Some estimate of variance is reported for the main results?,Controlled for confounding?,Results reported in sufficient detail?,Conclusions supported by the results?,condition
1,yes,,,Effects of feedback timing on second language vocabulary learning: Does delaying feedback increase learning?,nakata2015,yes,"Nakata, T. (2015). Effects of feedback timing on second language vocabulary learning: Does delaying feedback increase learning?. Language Teaching Research, 19(4), 416-434.",,10.1177/1362168814541721,2015,WoS search_first,journalArticle,EK,yes,Japan,exp,1,,mixed(verification+correct_response),item,no_info,no_info,no_info,0,one_go,NA,NA,NA,tertiary,language_learning,lower_order,,curriculum_based_tasl,not_adjusted,no,yes,classroom_computer,semantic,no_info,no_info,15,16,no_info,short_open_answer,pairs(words),within,Pretest-Training-Posttest,counterbalanced,NA,yes,posttest_performance,memory_retrieval,recall(cued_recall),productive_posttest,identical_to_training,technology,no_info,,no,no_info,NA,no,,no,3,3,28,28,independent_of_error,independent_of_error,NA,NA,yes,yes,no,98,,98,98,2.89,3,2.23,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,-5.06,0.14,,,within_with_mean_sd,,"We chose to extract the effect size using only the strict scoring method to reduce redundancy in the data. There was no clear ceiling effect in the sensitive scoring or floor effect in the strict scoring, so we opted for the simplest approach by focusing on strict scoring alone.",yes,yes,yes,yes,yes,NA,NA,yes,yes,yes,yes,yes,yes,yes,productive_4week_strict
1,yes,,,Effects of feedback timing on second language vocabulary learning: Does delaying feedback increase learning?,nakata2015,yes,"Nakata, T. (2015). Effects of feedback timing on second language vocabulary learning: Does delaying feedback increase learning?. Language Teaching Research, 19(4), 416-434.",,10.1177/1362168814541721,2015,WoS search_first,journalArticle,EK,yes,Japan,exp,1,,mixed(verification+correct_response),item,no_info,no_info,no_info,0,one_go,NA,NA,NA,tertiary,language_learning,lower_order,,curriculum_based_tasl,not_adjusted,no,yes,classroom_computer,semantic,no_info,no_info,15,16,no_info,short_open_answer,pairs(words),within,Pretest-Training-Posttest,counterbalanced,NA,yes,posttest_performance,memory_retrieval,recall(cued_recall),productive_posttest,identical_to_training,technology,no_info,,no,no_info,NA,no,,no,3,1,0,0,independent_of_error,independent_of_error,NA,NA,yes,yes,no,98,,98,98,6.38,6.43,2.17,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,-4.88,0.14,,,within_with_mean_sd,,"We chose to extract the effect size using only the strict scoring method to reduce redundancy in the data. There was no clear ceiling effect in the sensitive scoring or floor effect in the strict scoring, so we opted for the simplest approach by focusing on strict scoring alone.",yes,yes,yes,yes,yes,NA,NA,yes,yes,yes,yes,yes,yes,yes,productive_immediate_strict
1,yes,,,Effects of feedback timing on second language vocabulary learning: Does delaying feedback increase learning?,nakata2015,yes,"Nakata, T. (2015). Effects of feedback timing on second language vocabulary learning: Does delaying feedback increase learning?. Language Teaching Research, 19(4), 416-434.",,10.1177/1362168814541721,2015,WoS search_first,journalArticle,EK,yes,Japan,exp,1,,mixed(verification+correct_response),item,no_info,no_info,no_info,0,one_go,NA,NA,NA,tertiary,language_learning,lower_order,,curriculum_based_tasl,not_adjusted,no,yes,classroom_computer,semantic,no_info,no_info,15,16,no_info,short_open_answer,pairs(words),within,Pretest-Training-Posttest,counterbalanced,NA,yes,posttest_performance,memory_retrieval,recall(cued_recall),productive_posttest,identical_to_training,technology,no_info,,no,no_info,NA,no,,no,3,2,7,7,independent_of_error,independent_of_error,NA,NA,yes,yes,no,98,,98,98,3.37,3.29,2.24,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,-4.74,0.14,,,within_with_mean_sd,,"We chose to extract the effect size using only the strict scoring method to reduce redundancy in the data. There was no clear ceiling effect in the sensitive scoring or floor effect in the strict scoring, so we opted for the simplest approach by focusing on strict scoring alone.",yes,yes,yes,yes,yes,NA,NA,yes,yes,yes,yes,yes,yes,yes,productive_1week_strict
1,yes,,,Effects of feedback timing on second language vocabulary learning: Does delaying feedback increase learning?,nakata2015,yes,"Nakata, T. (2015). Effects of feedback timing on second language vocabulary learning: Does delaying feedback increase learning?. Language Teaching Research, 19(4), 416-434.",,10.1177/1362168814541721,2015,WoS search_first,journalArticle,EK,yes,Japan,exp,1,,mixed(verification+correct_response),item,no_info,no_info,no_info,0,one_go,NA,NA,NA,tertiary,language_learning,lower_order,,curriculum_based_tasl,not_adjusted,no,yes,classroom_computer,semantic,no_info,no_info,15,16,no_info,short_open_answer,pairs(words),within,Pretest-Training-Posttest,counterbalanced,NA,yes,posttest_performance,memory_retrieval,recall(reversed_cued_recall),receptive_posstest,identical_to_training,technology,no_info,,no,no_info,NA,no,,no,3,1,0,0,independent_of_error,independent_of_error,NA,NA,yes,yes,no,98,,98,98,6.41,6.59,1.77,1.65,,,–0.40,0.1,,,1.52,,,1,,0.221,,0.02,,,,,,,,,,-0.09,,-4.68,0.14,,,within_with_mean_sd,within_subject_anova_f,"We chose to extract the effect size using only the strict scoring method to reduce redundancy in the data. There was no clear ceiling effect in the sensitive scoring or floor effect in the strict scoring, so we opted for the simplest approach by focusing on strict scoring alone.",yes,yes,yes,yes,yes,NA,NA,yes,yes,yes,yes,yes,yes,yes,receptive-immediate-strict-posttes
1,yes,,,Effects of feedback timing on second language vocabulary learning: Does delaying feedback increase learning?,nakata2015,yes,"Nakata, T. (2015). Effects of feedback timing on second language vocabulary learning: Does delaying feedback increase learning?. Language Teaching Research, 19(4), 416-434.",,10.1177/1362168814541721,2015,WoS search_first,journalArticle,EK,yes,Japan,exp,1,,mixed(verification+correct_response),item,no_info,no_info,no_info,0,one_go,NA,NA,NA,tertiary,language_learning,lower_order,,curriculum_based_tasl,not_adjusted,no,yes,classroom_computer,semantic,no_info,no_info,15,16,no_info,short_open_answer,pairs(words),within,Pretest-Training-Posttest,counterbalanced,NA,yes,posttest_performance,memory_retrieval,recall(reversed_cued_recall),receptive_posstest,identical_to_training,technology,no_info,,no,no_info,NA,no,,no,3,2,7,7,independent_of_error,independent_of_error,NA,NA,yes,yes,no,98,,98,98,6.13,5.9,1.88,2.04,,,0.03,0.51,,,4.81,,,0,,0.31,,0.05,,,,,,,,,,0.14,,-4.16,0.14,,,within_with_mean_sd,within_subject_anova_f,"We chose to extract the effect size using only the strict scoring method to reduce redundancy in the data. There was no clear ceiling effect in the sensitive scoring or floor effect in the strict scoring, so we opted for the simplest approach by focusing on strict scoring alone.",yes,yes,yes,yes,yes,NA,NA,yes,yes,yes,yes,yes,yes,yes,receptive-1week-strict-posttes
1,yes,,,Effects of feedback timing on second language vocabulary learning: Does delaying feedback increase learning?,nakata2015,yes,"Nakata, T. (2015). Effects of feedback timing on second language vocabulary learning: Does delaying feedback increase learning?. Language Teaching Research, 19(4), 416-434.",,10.1177/1362168814541721,2015,WoS search_first,journalArticle,EK,yes,Japan,exp,1,,mixed(verification+correct_response),item,no_info,no_info,no_info,0,one_go,NA,NA,NA,tertiary,language_learning,lower_order,,curriculum_based_tasl,not_adjusted,no,yes,classroom_computer,semantic,no_info,no_info,15,16,no_info,short_open_answer,pairs(words),within,Pretest-Training-Posttest,counterbalanced,NA,yes,posttest_performance,memory_retrieval,recall(reversed_cued_recall),receptive_posstest,identical_to_training,technology,no_info,,no,no_info,NA,no,,no,3,3,28,28,independent_of_error,independent_of_error,NA,NA,yes,yes,no,98,,98,98,5.76,5.82,2,2.06,,,–0.30,0.25,,,0.05,,,1,,0.827,,0,,,,,,,,,,-0.02,,-3.75,0.14,,,within_with_mean_sd,within_subject_anova_f,"We chose to extract the effect size using only the strict scoring method to reduce redundancy in the data. There was no clear ceiling effect in the sensitive scoring or floor effect in the strict scoring, so we opted for the simplest approach by focusing on strict scoring alone.",yes,yes,yes,yes,yes,NA,NA,yes,yes,yes,yes,yes,yes,yes,receptive-4week-strict-posttes
3,yes,,,Learning From Feedback: Spacing and the Delay-Retention Effect,smith2010,yes,"Smith, T. A., & Kimball, D. R. (2010). Learning from feedback: Spacing and the delay–retention effect. Journal of Experimental Psychology: Learning, Memory, and Cognition, 36(1), 80.",,10.1037/a0017407,2010,WoS search_first,journalArticle,EK,yes,US,exp,1,,correct_response,seconds,480,0,480,480,one_go,3600,20,480,tertiary,general_cognitive_skills,lower_order,,experimental_task,not_adjusted,yes,yes,lab_computer,semantic,no_info,no_info,no_info,no_info,no_info,short_open_answer,trivia_facts,within,Training-Posttest,counterbalanced,NA,no,posttest_performance,memory_retrieval,recall(cued_recall),cued_recall,identical_to_training,technology,no_info,,no,18,NA,yes,,no,1,1,7,7,independent_of_error,independent_of_error,1,1,no_info,no_info,no,103,,103,103,0.6,0.61,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,-3.74,0.13,,,within_with_mean_se,,,yes,yes,yes,yes,yes,NA,yes,yes,yes,yes,yes,yes,yes,yes,longlag
3,yes,,,Learning From Feedback: Spacing and the Delay-Retention Effect,smith2010,yes,"Smith, T. A., & Kimball, D. R. (2010). Learning from feedback: Spacing and the delay–retention effect. Journal of Experimental Psychology: Learning, Memory, and Cognition, 36(1), 80.",,10.1037/a0017407,2010,WoS search_first,journalArticle,EK,yes,US,exp,1,,correct_response,seconds,480,0,480,480,one_go,3600,20,480,tertiary,general_cognitive_skills,lower_order,,experimental_task,not_adjusted,yes,yes,lab_computer,semantic,no_info,no_info,no_info,no_info,no_info,short_open_answer,trivia_facts,within,Training-Posttest,counterbalanced,NA,no,posttest_performance,memory_retrieval,recall(cued_recall),cued_recall,identical_to_training,technology,no_info,,no,18,NA,yes,,no,1,1,7,7,independent_of_error,independent_of_error,1,1,no_info,no_info,no,103,,103,103,0.54,0.65,,,0.022,0.022,,,,,,,,,,,,,,,,,,,,,,,,-3.6,0.14,,,within_with_mean_se,,,yes,yes,yes,yes,yes,NA,yes,yes,yes,yes,yes,yes,yes,yes,shortlag
3,yes,,,Learning From Feedback: Spacing and the Delay-Retention Effect,smith2010,yes,"Smith, T. A., & Kimball, D. R. (2010). Learning from feedback: Spacing and the delay–retention effect. Journal of Experimental Psychology: Learning, Memory, and Cognition, 36(1), 80.",,10.1037/a0017407,2010,WoS search_first,journalArticle,EK,yes,US,exp,1,,correct_response,seconds,480,0,480,0,one_go,3600,20,480,tertiary,general_cognitive_skills,lower_order,,experimental_task,not_adjusted,yes,yes,lab_computer,semantic,no_info,no_info,no_info,no_info,no_info,short_open_answer,trivia_facts,within,Training-Posttest,counterbalanced,NA,yes,posttest_performance,memory_retrieval,recall(cued_recall),cued_recall,identical_to_training,technology,no_info,,no,18,NA,yes,,no,1,1,7,7,independent_of_error,independent_of_error,1,1,no_info,no_info,no,103,,103,103,0.65,0.65,,,0.22,0.19,,,,,,,,,,,,,,,,,,,,,,,,-3.43,0.13,,,within_with_mean_se,,,yes,yes,yes,yes,yes,NA,yes,yes,yes,yes,yes,yes,yes,yes,resudy
3,yes,,,Learning From Feedback: Spacing and the Delay-Retention Effect,smith2010,yes,"Smith, T. A., & Kimball, D. R. (2010). Learning from feedback: Spacing and the delay–retention effect. Journal of Experimental Psychology: Learning, Memory, and Cognition, 36(1), 80.",,10.1037/a0017407,2010,WoS search_first,journalArticle,EK,yes,US,exp,1,,correct_response,seconds,480,0,480,0,one_go,3600,20,480,tertiary,general_cognitive_skills,lower_order,,experimental_task,not_adjusted,yes,yes,lab_computer,semantic,no_info,no_info,no_info,no_info,no_info,short_open_answer,trivia_facts,within,Training-Posttest,counterbalanced,NA,yes,posttest_performance,memory_retrieval,recall(cued_recall),cued_recall,identical_to_training,technology,no_info,,no,18,NA,yes,,no,1,1,7,7,independent_of_error,independent_of_error,1,1,no_info,no_info,no,103,,103,103,0.67,0.69,,,0.021,0.021,,,,,,,,,,,,,,,,,,,,,,,,-2.88,0.13,,,within_with_mean_se,,,yes,yes,yes,yes,yes,NA,yes,yes,yes,yes,yes,yes,yes,yes,retest
