Field Name ,Description,Type,Format,Example,Required?,Notes
ID_from_deicison_sheet,The ID of the study from the MA_Feedback_Decision Spreadsheet,string,unique numeric,123,"Yes, default",
Paper Description,,,,,,
Title,Title of the paper from the MA_Feedback_Decision Spreadsheet,string,text,"""Learning Feedback Effects""","Yes, default",
unique_ID,"Last name of first author + year, and letter if necessary",string,authorYYYY[a-z],smith2015a,"Yes, default",All small caps
long_cite,Full APA citation,string,APA citation format,"Smith, A. B. (2015). Feedback in Learning. Journal of Edu. Res., 89, 50-60.","Yes, default",
Year,Publication year of the study,number,YYYY,2015,"Yes, default",
Source,Search source of the paper (from MA_Feedback_Decision Spreadsheet),string,text,"WoS search_first
Scopus search_first
ERIC search_first","Yes, default",
publication_type,Type of publication,string,"journal, proceeding, chapter",journal,"Yes, default",
coder,first letters of first and last names of the primary coder,string,text or initials,EK,"Yes, default",
peer_reviewed,Whether the study was peer-reviewed,options,"yes, no",yes,"Yes, default",
country_data_collected_from,Country where the study was performed/data collected,string,text,United States,"Yes, default",
Research_design,Type of research design,string,"Experimental, quasi-experimental",Experimental,"Yes, default",
Expt_num,Experiment/study number in the paper,number,"copied directly from the paper's numbering, if there are no numbers default to 1",1; 2 (if paper has Experiments 1 and 2),"Yes, default",
if_exp_num_not_1_same_subject,"if the exp_num is not 1, then whether the same participant were used in the experiment that was already used in the experiment 1",options,"same, different, partially_same",same,Required only if the Exp_num is not 1,
Expt_num,Experiment/study number in the paper,number,integer,1,Yes,
A. Moderators-Preregistered [purple],,,,,,
feedback_type,Type of feedback given in the study,options,"Verification, Correct_response, Try again, Error flagging, Elaborated",,Yes,Refer to Shute (2008) Table 1 or Feedback_types tab for more explanation
delay_definition,Basis for delay (time or items),string,"item: Delay based on the number of items.
time: Delay based on time.
",time,Yes,
feedback_delay_difference,Difference in length of delay between immediate and delayed feedback,number,"If 'delay_definition' is time, the amount is specified in seconds (e.g., 10 seconds).
If 'delay_definition' is item, the amount is specified in number of items (e.g., 3 items).
",10 seconds,Yes,
feedback_delay_difference_converted_to_time(sec),Difference in length of delay between immediate and delayed feedback converted to time (sec) based on the other informations reported in the paper,number,,10,Yes(if it can be converted),
educational_level,Educational domain of study,options,"Primary Education: Involves the first years of formal education from around age 5 to 11.
Secondary Education: Typically covers education from ages 12 to 18.
Tertiary Education: Encompasses all post-secondary education, including universities, colleges, and vocational schools.
Adult Education: Includes formal and informal education undertaken by adults outside traditional schooling.
Mixed
",Tertiary Education,Yes,
learning_domain,Educational domain,options,"Language Learning: Includes all tasks related to learning and using language, such as language acquisition, reading comprehension, and potentially rote memorization if it specifically pertains to language (like vocabulary learning).
STEM: Retains its scope covering science, technology, engineering, and mathematics-related studies.
Social Sciences: Encompasses studies related to social behavior, cognition, societal issues, and potentially aspects of human interactions and communication that don't fit neatly into language learning.
Arts: Covers studies focused on creative processes in visual arts, music, and other forms of artistic expression.
General Cognitive Skills: This category includes cognitive tasks that don't specifically fall into language or STEM, such as association tasks, category learning, probabilistic learning, graphical reasoning, and general memory tasks.
Mixed: Maintains its role for studies that span multiple domains or have interdisciplinary focuses.
Reading comprehension",STEM,Yes,"If training and post-test differ, report the training learning domain"
task_level,"Type of cognitive task, based on Bloom’s Taxonomy",string,"Lower order: 
Knowledge
Comprehension
Remember
Understand
Recall
Reproduction

Higher order: 
Application
Analysis
Synthesis
Evaluation
Apply
Analyze
Evaluate and Create
Basic Application of Skills
Strategic Thinking
Extended Thinking
",lower_order,Yes,"If training and post-test differ, report the training task level"
experimental_vs_curriculum_based_task,Whether the task is research-specific or integrated with curriculum,string,"Experimental Learning Task: Designed solely for research to test specific learning processes, often not related to practical applications.
Curriculum-Based Learning Task: Integrated with real curriculum, directly benefiting learners' educational or professional goals.
",Experimental Learning Task,Yes,
Prior Knowledge Adjustment,Whether effect sizes adjust for participants’ prior knowledge,options,"Adjusted, Not_adjusted",Adjusted,Yes,
B. Moderators Exploratory [green],,,,,,
B.1 Study-level [light_green],,,,,,
arbitrary_learning,whether the learning task is arbitrary or not,,Yes if arbitrary and No if not,,,
participants_have_prior_knowledge_on_task,"Whether a task that is learned directly inside the study (no), or a task that participants already have some kind of knowledge on (yes)",,,,,
Study_setting,setting of study,string,"Lab_computer, Classroom_computer, distance_education",Lab_computer,no,
